Label,Email
ham, Would you please write a description on how Consumers Energy works on the  billing for title transfers?  I need to explain this to Doug Kenny still.   Thanks.
ham," 100% from Storage, cold for next 3 days "
spam, http://www.natchitoches.net/cgi-bin/get_postcard.pl?word=LJEMRBTL
ham, To: Gregory Adams/Corp/Enron@ENRON cc:   Subject: Diversity Focus Group  
ham,"X-FileName: mgrigsb.nsf  I guess we survived the ""Crashing"" of the systems.  Excellent !   Have a good evening.  Anne "
ham," Call me to discuss if needed. The excel file has a shortened version of the questions along with the answers and scores.  The word file is the full set of questions with the answer choices.  Thanks, Jane   "
ham, Don't be scared...I'm just kidding.
ham, Can I also get a copy of his resume.
ham,  <<Override Letter for LV Cogen Turbine Agreement.DOC>>   Attached is the latest draft of the LV Cogen Override Letter.    - Override Letter for LV Cogen Turbine Agreement.DOC
ham," I know what you mean.  As far as the bed goes, you should do what I do...Go  around to the other side and push your wife into the wet area. PL"
ham,"X-bcc:  X-Folder: \Sara_Shackleton_Dec2000_June2001_1\Notes Folders\All documents X-Origin: SHACKLETON-S X-FileName: sshackle.nsf  Please send me your updated report today not later than 5:00 p.m. Brazil time. Thanks & regards, Patricia."
ham,"  There are 22 mhw midc heavy load that we are short for Oct 23rd-25th, please supply at PGE system.  Diane Cutsforth Enron North America Power Pre-Scheduling 503-464-3831 desk"
ham, Take a look at the attached and let's talk tomorrow if at all possible.  I  want us to have a consensus among ourselves on this draft before I circulate  it more widely. 
ham," Vik,  Do you know how to freeze panes twice in the same spreadsheet? MOnika"
ham,"X-Origin: Watson-K X-FileName: KWATSON (Non-Privileged).pst   Steve,  Per my note, the attached is electronic form of data requested.  Paul    "
ham,"X-FileName: MTAYLO1 (Non-Privileged).pst   See attached outline of issues for discussion.     Cordially, Mary Cook Enron North America Corp. 1400 Smith, 38th Floor, Legal Houston, Texas 77002-7361 (713) 345-7732 (713) 646-3393 (fax) mary.cook@enron.com"
ham,"X-cc:  X-bcc:  X-Folder: \Shelley_Corman_Mar2002\Corman, Shelley\Inbox\Measurement X-Origin: Corman-S X-FileName: scorman (Non-Privileged).pst  Please see attached. Ellis "
ham," I changed the 2nd paragraph so that ABB is receiving money, not paying it."
spam, Here is a link to the Guru  http://www.fantasyguru.com/football/subscribers/week6/monday/index.html
ham, Please create today the September  GDD/IF swap and the september Gas Daily  Henry Hub swap.   Thanks
ham,"X-Origin: KEAN-S X-FileName: skean.nsf  The revised eSpeak schedule is attached for your review.  FYI -- Jeff has  taken Ken's spot on Wednesday, March 8. and Ken will host on Thursday, April  13.    We hope you have a wonderful weekend!  The eThink Team"
ham," So are you Gold?  If not, go ahead and use the miles if you want.  "
ham," Thanks for your assistance with this.  The total October 2000  Transport/Demand charges for VNG is $2,666,593.01.  If you need a breakdown  of what we charged I have attached a copy of the manual invoice.    Thank again!  Priscilla ext.-53736"
spam," Greg, as per your request -   	*2001 bonus numbers - assumes no ""fours or fives"" get a bonus and is completely composed of cash no LTIP - $30M.  Regards Delainey"
ham," I am traveling to LA on Tuesday and will not be back until late Wed. night.(  Plus, your sister lives way the hell out of town) Any other time you are  available? I'd love to show off my kids."
spam,"X-Origin: KEAN-S X-FileName: skean.nsf  Check out the poll at this URL regarding how folks feel about rate increases.  Best, Jeff  http://www.sfgate.com/cgi-bin/article.cgi?file=/chronicle/archive/2001/03/21/M N114450.DTL"
ham,"X-FileName: skean (Non-Privileged).pst  Here are today's numbers...  Number of Transactions = 6,319 Users Transacting = 1,207 Counterparties Transacting = 302  Eric"
ham," J.,  BHP is still in the market for Balance august San Juan.  Can we do this or can you call that guy that spiro recommended ASAP?  Please let me know.  thanks,  Kim"
ham,"X-FileName: tjones.nsf  We have received Confidentiality Agreemend executed as of May 17, 2000.  A  copy will be sent to Dave Samuels."
spam, missing deals  jeff r buy duke april np15 25 mw 165.00 off  jeff buy reliant april 25 mw 130.00 sp15 off  jeff sell mirant april 25 mw 175.00 np15 off  mike driscoll buy bp energy may  50 mw palo verde 265.00 on peak
ham, Folks:  Did y'all happen to see the article today about Montana in the Journal? I  think we need to ask for more money for the D5A. Chris / Carlos - I'd like to  talk to you before we talk to Montana tomorrow. 
ham," A WMBE was executed in January of this year for this enitity and is in place.    Debra Perlingiere Enron North America Corp. 1400 Smith Street, EB 3885 Houston, Texas 77002 dperlin@enron.com Phone 713-853-7658 Fax  713-646-3490"
ham," Vince,  Let me know when you've talked to Anjam about moving to Houston.  I need to  do his performance review this week and it would be good to get this on the  table with him before then.  Thanks  - Dale"
ham, never received a pass word.
ham,"X-Origin: LOKAY-M X-FileName: mlokay.nsf  FYI...I am scheduled for Jury Duty next Monday, August 14."
spam, http://www.tlksolutions.com/family/multimedia.asp
spam, http://www.sharperimage.com/us/en/catalog/productview.jhtml?pid=15975000&pcati d=22&catid=22
ham, Here you go...     AC 
ham, Diana says it's definitely on peak hours. Let me know....     Evelyn Metoyer@ENRON 02/12/2001 02:28 PM To: Kate Symes/PDX/ECT@ECT cc:    Subject: 2/10/01 Checkout     Dianna Scholtes deal 519755 Bloomberg shows hours as offpeak...  
spam, Please visit our February issue of the ETS IT newsletter at: http://www.ets.enron.com/ITNewsletter/default.asp
ham, OPPS.  I registered twice.  I'm just taking up one seat that day!  Kay
ham,X-Folder: \Steven_Kean_Dec2000_1\Notes Folders\Calendar\Untitled X-Origin: KEAN-S X-FileName: skean.nsf  Sorry this didn't arrive on Friday.  I was unable to establish a remote  connection. 
ham, thinking about what/who but nothing has hit me yet.  i'll keep thinking
ham, Attached is the bilateral form of CA. 
ham,   I LOVE U 
ham," Ben,  Attached you will find a PPT slide with the requested aerial photo scanned in. "
ham," Really appreciate it.  Thanks very much for the help.  I'll leave you a message should anything come up. Enjoy the Giants game.  Hope they do better tomorrow than they did today.  Best, Jeff"
ham,X-FileName: JSTEFFE (Non-Privileged).pst  Just to let you know that I will be in a class tomorrow morning at the Doubletree until 12:00 noon.
ham, sounds good.  Have a great weekend.  GO BRUINS! 
ham,X-bcc:  X-Folder: \Richard_Shapiro_June2001\Notes Folders\All documents X-Origin: SHAPIRO-R X-FileName: rshapiro.nsf  Adriana please convert to Acrobat format and send back to me. This is the one  I presented yesterday at the Institute.  Thanks  Jose 
ham," Brandon, what is the status of the dash? m     Brandon Luna 08/02/2000 05:11 PM To: Mike McConnell/HOU/ECT@ECT cc: Stephen R Horn/HOU/ECT@ECT  Subject: Acta DASH      "
ham,"CALENDAR ENTRY:	APPOINTMENT  Description: 	TW Roundtable  Date:		2/15/2001 Time:		1:30 PM - 2:00 PM (Central Standard Time)  Chairperson:	Outlook Migration Team  Detailed Description:"
spam, http://www.debsfunpages.com/boxchocolate.htm
ham, So tired I am.
ham, SMED  Nov. 1 year offer 4.42 Nov. 2 year offer 4.60 Nov. 3 year offer 4.675 Nov. 5 year offer 4.76    
ham, My response is that you need to call me tonight because email sucks.
ham, i'm flakin
ham, jack has to go to the vet before he can go to the kennel... 
ham, Attached is ENA's proposal for the Nov-Mar Ventura gas package as requested.  Please call if you have any questions or concerns.  Thanks.  Darron Giron 713-853-9573   
ham, This is wonderful - thanks for the memories!  Love ya! 
spam, http://www.best.com/~trayrace/volsale.html
ham,"X-Origin: MANN-K X-FileName: kmann.nsf  Jackie,  Would it be possible for you to mark up the list of comments, highlighting  which are outstanding?  Marked by hand and faxed would be great.  Thanks,  Kay"
ham,"X-Origin: FISCHER-M X-FileName: mark fischer 7-12-02 LNotes.nsf  Tim,  In Oct 2001 I produced the attached reports for Michael Paine. I hope these  are helpful.   Mark   "
ham, Attached is the latest issue of Btu Weekly  e-mail: info@Btu.net phone: 732-758-8222 fax: 732-758-8286    - wg011402.pdf 
spam, http://www.googles.com/
spam," You're done,  Hale is starting on Sat.  LSU doesn't stand a chance! http://www.ncaabaseball.com/news/bbo/bbc/2000/06/08/960520710439.html"
ham," Hi Jeanie,  What is your schedule looking like for this week or next in the late  afternoon?"
spam, You're gonna love this site.  So true.   http://www.petnet.com.au/dogs/D162.html
ham, I rechecked with them ...I have until the first of april; let me know if you   have not received it by Monday. If necessary I'll wire the $ and take care  of   the charges from your end as well..  Again thank you for your help in this matter.  Jeff
ham, Thanks for getting the info to Keeney.  Jim
ham, When we have made some inroads into SO2 analysis please set up another  meeting with me.
ham, I will be making these changes this morning and sending an e-mail to you with  the changes.  Thanks for the interest in these projects. Ben
spam," http://www.co.montgomery.tx.us/phonbook/   Jana Phillips Marketing Manager New York Mercantile Exchange 1000 Louisiana Street, Suite 1095 Houston, TX 77002  Phone: (713) 658 9296 Fax  : (713) 658 9393 Jlpnymex@aol.com"
ham, don't forget you owe me dinner...
ham," Here are the people who handle confirms in Houston:  Melissa Ann Murphy Sharen Cason Kim Hundl  EB 3115 1400 Smith Street Houston, Texas 77002  Hope that helps! Let me know if you need anything else.  Kate "
ham, have you heard  anything from Jim on these?  How are we looking on back  pages?  Let me know and I can take some time with you to help and clean them  up further.  Thanks. PL
ham," Attached is the presentation on  ""Optimizing Enron's Internal/External  Reputation Culture along with PRC Feedback & Survey results.     "
ham, Kay  Here is the change order that Mike Sandridge signed this morning.    Rebecca
ham," Adele,  Here is a revised version.  Let me know what you think.  Mark "
spam, http://ectpdx-sunone.ect.enron.com/~theizen/wsccnav/
ham,"X-Origin: SHACKLETON-S X-FileName: sshackle.nsf  At the request of Sara Shackleton, attached is our form of Letter of Credit.   "
ham,X-Origin: LENHART-M X-FileName: mlenhar.nsf  men's club
ham," Sam,  We should profile Kirstee who is on rotation from London Office.  Vince"
ham,X-Origin: GERMANY-C X-FileName: chris germany 6-25-02.pst   has williams made up all of the gas they failed to deliver on june 4?  i still working on the apache make-up.  robin
ham,X-Origin: KEAN-S X-FileName: skean.nsf  Attached for your review is a rough cut at slides we're preparing for the  meeting with Sempra next Thursday.  Thoughts and comments are appreciated.   Please disregard korny title.
ham," I will pick you up at the hotel (Radisson Hotel Phoenix airport)  and we'll go to dinner with Diane McVicker from Salt River Project.  Dress is bus. casual.  my pager is 888-582-7421, cell 281-615-7061"
ham," Thanks!    	Laurel Adams 	02/06/2001 04:24 PM 		 		 To: Tana Jones/HOU/ECT@ECT 		 cc:  		 Subject: Re: Bankers Trust  I don't think we have any active deals with BT.     "
ham, Welcome!  Please stop by.  Mark
spam,Is it time again? Who's interested? How about Thurday the 25th at.................... e.    _________________________________________________________________ Join the world's largest e-mail service with MSN Hotmail.  http://www.hotmail.com
spam, http://www.lonestarford.com/newcars/expedition/expedition_main.htm
ham, Huh?     Gabriel Monroy 02/09/2001 10:42 AM To: Robin Rodrigue/HOU/ECT@ECT cc:   Subject: Re:    thanks.  You should initiate a newswire service. You are very efficient.   
ham, Here is the latest presentation Don and I have put together.  I will be out  till Jan 2nd so have a good holiday.  Thanks Ben 
spam,"CALENDAR ENTRY:	APPOINTMENT  Description: 	TMS Weekly Mtg. Conference room EB4102  Date:		10/10/2001 Time:		1:30 PM - 3:00 PM (Central Standard Time)  Chairperson:	Outlook Migration Team  Detailed Description:"
spam, http://www.housingfinance.org/Country%20Specific%20Information/country_specific_information.htm
ham, i think we might go to someones place and then go out afterwards
ham, Have you been outside?  I have to leave early today!  Hope your dinner was  great....  Jeff
spam," Tana:  None of the following CPs is authorized to trade US power -- restricted by  credit:  Atlantis Plastics, Inc. Castle Oil Corporation Equistar Chemicals, LP Idemitsu Kosan Co., Ltd  Leslie"
ham," This deal was added awhile ago - number 480865.  Thanks, Kate     Kerri Thompson@ENRON 12/15/2000 12:34 PM To: Kate Symes/PDX/ECT@ECT cc:    Subject: apb   missing deal   buy sierra 18th 226.00 50 mw palo    "
ham," Thanks, Great job, I thought the trip was great and productive.  Maybe next  time we'll meet the pres. m"
ham," Are you going?  If so, I'll see you there.  DF"
ham,"X-Origin: Hodge-J X-FileName: JHODGE2 (Non-Privileged).pst  Per Bill at TCO Gas control, there will be no over injections allowed for 10/11/01.  (8:45 AM)  Kelly M. Loocke Enron North America 713-853-3570 pager:  877-872-7966"
ham, Carol St. Clair has the VEPCO proposed guaranty in hand and will contact you  soon.  Thanks for reminding me.  Sara
ham, call me if you're in town this weeekend
ham,"X-Origin: Haedicke-M X-FileName: mhaedic.nsf  Sheila asked me to set up a call with Linda Greene for Monday.  Would 1:30  Central time work for everyone?  Please let Jan know, and we will set up a  conference call-in number.  Thanks."
ham, We did two deals that day we bought 4.70 and sold them 4.67-same volume
spam, http://www.oanda.com/converter/cc_quotes
ham," Schneider, Craig would like to recall the message, ""Password Security  Notice""."
ham,X-FileName: gnemec.nsf  FROM SHONNIE DANIEL:   Just a reminder that there will be a meeting this morning at 11:15 in 38C2  regarding the Denver Projects.  See you there.
ham,"  	Randy, I had to change one of your reviewers from Diana Porter to Shirley Walden.  Please 	let me know if you have any concerns.  Thanks. Lynn"
ham,"X-Origin: Kaminski-V X-FileName: vkamins.nsf  Rick,  Thanks for your message. I shall talk to Greg Whalley  about his  participation.  Vince"
ham," Please look at section 3.3 Seller's Representative/Signature page.  Thanks!    Debra Perlingiere Enron North America Corp. Legal Department 1400 Smith Street, EB 3885 Houston, Texas 77002 dperlin@enron.com Phone 713-853-7658 Fax  713-646-3490"
ham, Thats exactly what you need is HELP!!!
ham,"X-Origin: KEAN-S X-FileName: skean.nsf  I am hoping we can prevail upon you two for your customary, if not always  cheery, review of macroeconomic trends.  Please let me know. "
ham, l.a. but I'll kill it.  1 went 6-4 with two pushes.  up 400 makes a balance  of 4130.
ham, V -  I spoke with Doreen this morning re: our San Francisco project. Please  forward info to her at    doreen@magdalinweiss.com  Are you up fro brunch at my house on Sunday with Bill and Mary? Kathryn will  be home on midterm break  P -
ham," I guess you are having some kinda fun over there, hitting the forward  button.  Actually, I appreciate the info."
ham," Chris,  Attached is the document to which Russell and I have agreed.  Next step is for us to get signed and fax to Russell.  Do you have the tract descriptions that Gulf forwarded?  Does Dave?   "
ham,"X-Folder: \Mark_McConnell_June2001\Notes Folders\'sent mail X-Origin: MCCONNELL-M X-FileName: mmcconn.nsf  Jane, I certainly fine with joining the board. mike"
ham, Hope you feel better soon!
ham,"   https://gcs.enron.com/expertfinder/tcid.asp  Steve,  Please take a look and I will be available to walk you through the  application at your convenience.   I've attached a power point presentation  to help describe.  ay  "
spam," In case you do not have it, here is the website for WSCC  oasis links.  very  useful for reserving transmission......  http://www.tsin.com/nodes/wscc.html"
ham, This is incorrect.  I started in 1976 -  I believe in June.  Please recheck.                                                                 Thank You!
ham,"X-Origin: White-S X-FileName: swhite (Non-Privileged).pst       Two counterparties have been added to the physical termination list.   Thanks, Melissa 3-1886"
ham, Received email!
ham, same plan 
ham, I believe we should be supporting the ITC's positions that would facilitate  the ITC's provision of service and the RTO's evolution to an RTO.
ham," jill  Lon puts a bunch of reports together for me, you don't have to e-mail me.  Thanks"
ham,X-Origin: NEMEC-G X-FileName: gnemec.nsf  FROM GERALD NEMEC:  Attached are the finalized letter agreements you have been waiting on.          
ham," What is the volume price?  Debra Perlingiere Enron North America Corp. Legal Department 1400 Smith Street, EB 3885 Houston, Texas 77002 dperlin@enron.com Phone 713-853-7658 Fax  713-646-3490"
ham, I have asked Wilson Barbee t9o see if he can provide any assistance to you.   I do hope you find something that meets your qualifications.  Thanks for keeping me updated.  Stan
ham," Vince,  Here it is.   I did not include a slide about London.   Let me know if you  think it is needed.  Stinson  "
ham," Chris, where are we on gas interconnect?   I am hearing rumblings of 15 year  Kern exposure - don't  know if I like that.  Regards Delainey"
ham,"CALENDAR ENTRY:	APPOINTMENT  Description: 	Wisconson Gas Review (Renee) Raetta 4194  Date:		1/3/2001 Time:		1:00 PM - 3:00 PM (Central Standard Time)  Chairperson:	Outlook Migration Team  Detailed Description:"
ham," EFF_DT PORTFOLIO_ID DOWN95 2/13/01  MANAGEMENT-COAL 0 2/13/01  MANAGEMENT-CRD 0 2/13/01  MANAGEMENT-GAS 933,816. 2/13/01  MANAGEMENT-PWR 169,657. 2/13/01  AGG-MANAGEMENT 1,019,210."
ham, If its Stephanie you die!  I'm working on killing JD now.     Chad Gronvold 06/27/2000 03:29 PM To: Chris Germany/HOU/ECT@ECT cc:   Subject: Re:    Take a guess  
ham, please add a box of packaged peanuts  thanks
ham," I will be there.  Thanks,  Errol"
ham," u got it yet? also, you can listen via internet.  best, jeff"
ham," Russell this number is not in service?  Debra Perlingiere Enron North America Corp. Legal Department 1400 Smith Street, EB 3885 Houston, Texas 77002 dperlin@enron.com Phone 713-853-7658 Fax  713-646-3490"
ham, Jordan Mintz 3-7897 Bob Foster 818 302 9210 Kevin Beasley 3-7807
ham,Meeting with Colleen Sullivan-Transportation On-Line
ham,X-Origin: Farmer-D X-FileName: dfarmer.nsf  (See attached file: hpl0916.xls)   - hpl0916.xls
ham,X-Origin: NEMEC-G X-FileName: gnemec.nsf  At Greg's request I am sending you a draft of what we think a contract  between EES and ECS would entail.  We look forward to discussing this with  you further.  MDS 
ham,   Could a tape be made available for Gas Control shift workers at EB4225 like it was last year? Thanks.
ham," Ok  Debra Perlingiere Enron North America Corp. 1400 Smith Street, EB 3885 Houston, Texas 77002 dperlin@enron.com Phone 713-853-7658 Fax  713-646-3490"
spam, We released $75M tonight.  DG    3-9573 
spam,X-FileName: KPRESTO (Non-Privileged).pst    _________________________________________________________________ Get your FREE download of MSN Explorer at http://explorer.msn.com/intl.asp   - 10-26 1400 Report.xls 
ham, How do I get a laptop?  EM
ham," Ted, Thanks for the email.  It looks like bad luck again for lunch.  I am out of  town again.  Life is crazy right now.  Look for more on Enron and Enron Net  Works in the near future.  We are busy.  Thanks and i hope all is well. mike"
ham,"CALENDAR ENTRY:	APPOINTMENT  Description: 	Stacey Out of Office  Date:		2/5/2001 Time:		1:00 PM - 5:00 PM (Central Standard Time)  Chairperson:	Outlook Migration Team  Detailed Description:"
ham, Attached is the BETA and Fee Agreement for NatSource.  Let me know if they  meet with your approval.  
ham,X-Origin: Sager-E X-FileName: esager.nsf  Bill told us last night the true up payments run to PGET
ham," Please approve Mike Grigsby for Bloomberg.    Thank You, Phillip Allen"
ham, Thank you for signing up with eThink.  You may logon at any time using the  userid: Elizabeth.Sager  and password: QRfXCaMQlV
ham, Do you have any smokes?  Amanda K. Huble  Gas Fundamentals  Phone: (713) 853-4384 Pager: (877) 482-0772 Fax: (713) 646-8453
ham," Hey girl,  Where are the pictures, they were not attached.  I'll call you this afternoon.  Patrice"
ham, Week from HELL!!!!
ham, Jim asked me to forward this to you.  We should probably discuss this.   
spam, check this out...............www.gorelieberman-2000.com/
ham, Fix all!  I need to tell Peter and Nancy when you'll be in their apartment.
ham,X-Origin: Farmer-D X-FileName: dfarmer.nsf  (See attached file: HPLN0217.xls)   - HPLN0217.xls
spam," up to 69.75 from a low of 66.06!  Big buyers?  Avg daily volume = 3.09M  shares, today - 3.06M so far"
ham, call me when you get a chance.  they have the wrong ext. for you on voice  activation thing.
ham, sorry about that I woke up late
ham, Sharon:  Mr. Lay's e-mail address is kenneth.lay@enron.com  Please let me know if you have any other questions.  Thank you
ham,"X-Origin: Nemec-G X-FileName: Nemec, Gerald (Non-Privileged).pst  Attached are the executed Kern River assignment docs.   "
ham,"X-Origin: Sager-E X-FileName: esager.nsf  I have a Dr.'s appt. Friday and have to leave by 2:00 pm.  Thanks, Genia"
ham, Here it is.  Thanks. PL
ham,"X-Origin: PERLINGIERE-D X-FileName: dperlin.nsf  Lets go NOW!!   Debra Perlingiere Enron North America Corp. Legal Department 1400 Smith Street, EB 3885 Houston, Texas 77002 dperlin@enron.com Phone 713-853-7658 Fax  713-646-3490"
ham,X-FileName: holden salisbury 6-26-02.PST  I will be out of the office 8/24 & 8/27.  
ham," is this the link to the new swaps forms database?  Cheryl Nelson Senior Counsel EB3816 (713) 345-4693    	Tana Jones@ECT 	05/01/2001 02:02 PM 		  		 To: Cheryl Nelson/NA/Enron@Enron 		 cc:  		 Subject:   Link --> "
ham," Heather,  I put three swaps in on Friday at the wrong price.  Deal numbers are 660187, 660188, and 660183.  I corrected the prices this morning.  Net loss to STSW and gain to LTSW was no less than $102,000.00  Thanks, Holden"
ham, Can either of you guys tell me where I can get more info on this?  --Rocky  Mountain Elk Foundation Partnership   thanks Kevin 713-853-5559
ham,X-FileName: gnemec.nsf  Attached is a discussion draft of the Compression Services Agreement for  Gallup. 
ham, Here is the latest turn on the Investor List.  Can you please have someone  add fax numbers to the list.  Thanks Ben 
ham,X-Origin: QUIGLEY-D X-FileName: DQUIGLE (Non-Privileged).pst  Do you have a full day of work today  ? i get off early and wanted to know if you and some others might want to goto a late lunch ?  dutch
ham, who do you want me to invite and for what time?
ham," You might as well go and play golf, I probably won't get out of here until 2 or 3  Amanda K. Huble  Gas Fundamentals  Phone: (713) 853-4384 Pager: (877) 482-0772 Fax: (713) 646-8453"
spam," oui.  don't tell anybody about it, big boy.      	Daniel Diamond 	02/06/2001 04:53 PM 		  		 To: Jeffrey A Shankman/HOU/ECT@ECT 		 cc:  		 Subject:   Is this where you stay in Paris? http://www.parishotels.com/html/viewhotel.cgi?hotel=6.1&pays=gb  -Dan "
ham," Here is my breakdown for the number of 890,000:  California Energy Hub Sale  702,122 Golden Gate Purch liq(N09325.3) 2,406,375 Pacific Gas & Electric Sale Liqs  (2,231,985)  Support to follow"
ham, what's your view of crude from here over next 1-4 weeks?
spam, lets get tickets
ham,X-FileName: JLAVORA (Non-Privileged).pst  Terry Donovan Brenda Herrod Mary Lynn Ruffer Tim Belden Jeff Richter Anthony Dayao Kevin Presto Rogers Herndon Don Black
ham,  Saturday lunch it is then! I look forward to seeing you at 1pm at our usual place right?  Do you want to go somewhere different. It doesn't matter to me.  I am flexible.
ham, Solid e-mail!!
ham,X-Origin: NEMEC-G X-FileName: gnemec.nsf  Per Jaime Ginsberg's request I am forward our form of Confidentiality  Agreement for your review.   
ham," Gentlemen,  Attached are GE's comments which I just received.  They are concerned that we  tried to improve the contract.  Oh well.  I hope to get this resolved today so we can wrap it up early next week.  Talk to you soon,  Kay "
ham, Daren - the valve for meter 1031 was not shut off in time on 3/1.  It flowed  about 1.200.  Could you please extend the deal for one day (deal 589188) ?   Thanks.  al
ham, Hey!!  You still exist!!
ham, I just made a couple of changes.  Would you send it to me again please?
ham, Nedney 6 Seder  1  Need 1   Denver D 11
ham, Today I'm leaving by 5. Usually by 5:30-6. Et vous?
ham, One correction --- Total project cost for Moore is 229 mil CAD$ (US$ 155 mil).  Jin
ham," In addition to the people you're already sending the EES sheet to, please copy Bill and myself when you send this out each day.  Let me know if you have any questions.  Thanks, Kate "
ham,"X-FileName: mtaylor.nsf  Marie is fine with either Friday June 2 or 9.  So let's pick June 2 unless  someone has a conflict.  For quick planning (invitations, caterer, limo,  etc.), who wants to help?  Sara"
ham," Sara,  Here is the latest transaction agreement which has my attempt to deal with  the terminating credit agreement issue in item #6. "
ham, The original message is encrypted using Lotus Notes Public and Private Key security.  Encrypted messages cannot be migrated to Microsoft Exchange Server.
ham, Here's the top 10 for my group.  Thanks - Jeff 
ham," Congratulations!!  I couldn't be happier for you two.  How's Rena feeling - probably relieved,  huh? Thanks for the call with the news.  We were out for the day, that's why  didn't get back to you.  I'll try you today.  Kevin  P.S.  Great Name"
ham, I was looking for tommorow.   I'll pass on tonight.  Thanks.
ham,"X-Origin: Kean-S X-FileName: SKEAN (Non-Privileged).pst  Here are my suggested changes, which I would characterize as relatively minor, but which I would like to have considered if time still permits."
spam, http://www.risklab.ch/Papers.html#SLTFR
ham," Anurag Saksena Managing Director, Enterprise Risk GMAC - RFC 8400 Normandale Lake Blvd. Suite #600 Minneapolis, Minnesota 55437 Tel: (612) 857 - 6133 (o) Tel: (612) 943 - 8501 (h) 10273 Antlers Ridge Eden Prairie, MN 55347 ASaksen@rfc.com"
ham," Here is another presentation, like the other one I sent to you last week.  We  only need 6 copies of this one in color in a spiral binder.  Please give me a  call if you have any questions.  Thanks Ben 3-7998 "
ham,  Return Receipt   Your  document:   was received Liane Kucher/ST/FIS  by:   at:          04:32:05 PM Today  
ham, deal 523883 Please ch term to 2/17 only.  Thanks!
ham, Are you just hanging around waiting on me? 
ham,Scheduled by T.J. Black - x35800
ham, you going out tonight and tomorrow night?   maybe golf tomorrow at clear  creek?
ham," Here is the name of an apartment finder in the Kingwood Area,,,,,,   All-Apartment Locating  281-446-3600   Hope to see you Saturday!  MC"
ham, I'm assuming you are referring to the penalty invoice at the California  Border.  That was a 30 day firm deal.  There is no GIC associated with that  deal.  
